,name,display_address,latitude,longitude,rating,categories,snippet_text
26,The Musket Room,"[u'79 Baxter St', u'Chinatown', u'New York, NY 10013']",40.72393,-73.99378,4.5,"[[u'Diners', u'diners'], [u'American (Traditional)', u'tradamerican'], [u'Cocktail Bars', u'cocktailbars']]",My friend took me here for my bday dinner. Everything was wonderful. We had the 10-course dinner. I shared that I didn't Iike goat cheese so they...
27,Lumos Bar,"[u'157 Allen St', u'Lower East Side', u'New York, NY 10002']",40.72719,-73.99999,4.5,"[[u'Cocktail Bars', u'cocktailbars']]","A drink adventure!
This place is one of a kind
Must try the Baijiu!"
28,Whiskey Tavern,"[u'90 W Houston St', u'Greenwich Village', u'New York, NY 10012']",40.716465,-73.999687,4.5,"[[u'Pubs', u'pubs']]","One of the best dive bars in Manhattan.

Head down to Chinatown, where Baxter Street meets White Street, and in between two bail bonds you will find this..."
29,Belle Reve,"[u'79 Baxter St', u'Chinatown', u'New York, NY 10013']",40.7194828,-74.0041366,4.5,"[[u'Bars', u'bars'], [u'American (New)', u'newamerican'], [u'Music Venues', u'musicvenues']]",On a recent stay in Tribeca we ended up wandering in for a quick late lunch and were pleasantly surprised by the food. Pork Belly BLT was great and everyone...
30,The Tank,"[u'Hilton Garden Inn', u'136 W 42nd St', u'Theater District', u'New York, NY 10036']",40.758415,-73.984077,4.5,"[[u'Music Venues', u'musicvenues'], [u'Performing Arts', u'theater']]",The Tank is an amazing space for producers and audience members alike. This is a fantastic black box space right off of Times Square. There are 62 seats...
31,Bar Catalina,"[u'151 W 46th St', u'8th Fl', u'Theater District', u'New York, NY 10036']",40.7613615,-73.990708,4.5,"[[u'Cocktail Bars', u'cocktailbars'], [u'Pizza', u'pizza'], [u'Wine Bars', u'wine_bars']]","Awesome! So after bringing some friends from out of town over to Times Square, we decided to grab dinner here. We Literally passed dozens of places but I..."
32,Feinstein's/54 Below,"[u'675 9th Ave', u'Theater District', u'New York, NY 10036']",40.7643203735,-73.9838027954,4.0,"[[u'Jazz & Blues', u'jazzandblues'], [u'Lounges', u'lounges']]","Booked a premium table for my wife's birthday and it was better than I could have hoped.

We saw Michael Feinstein and he was outstanding!  Great stories..."
33,Atera,"[u'186 Franklin St', u'TriBeCa', u'New York, NY 10013']",40.7168146,-74.0053489,4.5,"[[u'Lounges', u'lounges'], [u'American (Traditional)', u'tradamerican']]","Amazing experience!! Nordic dishes were definitely new to me, and they were enjoyable. 

The ambience and furnishing is neat, modern and precise. Upstairs..."
34,Belle Reve,"[u'77 Worth St', u'TriBeCa', u'New York, NY 10013']",40.7194828,-74.0041366,4.5,"[[u'Bars', u'bars'], [u'American (New)', u'newamerican'], [u'Music Venues', u'musicvenues']]",On a recent stay in Tribeca we ended up wandering in for a quick late lunch and were pleasantly surprised by the food. Pork Belly BLT was great and everyone...
35,Bar Cyrk,"[u'305 Church St', u'TriBeCa', u'New York, NY 10013']",40.7173309475,-74.0085431188,4.0,"[[u'Cocktail Bars', u'cocktailbars'], [u'Italian', u'italian']]","My brother and sister in law had their nuptials dinner here. 

The place is beautiful and very inviting. The music was perfect for the occasion. Frank..."
36,J's Tavern,"[u'Downtown', u'Boston, MA']",42.8365097,-71.6492767,4.0,"[[u'Pubs', u'pubs'], [u'American (New)', u'newamerican']]","This is a great neighborhood bar with a ""Cheers"" vibe going as far clientele. I think Lisa Guyer, who plays acoustic there every Wednesday, says it best...."
37,Olde Kilkenny Pub,"[u'63 Union Sq', u'Milford, NH 03055']",42.8358509392,-71.6487523913,3.0,"[[u'Pubs', u'pubs']]","Wide selection of beer on taps. There is some excellent beer here, and from what I've heard from the owner, they change the selections seasonally. For..."
38,Shaka's Bar & Grill,"[u'30 Middle St', u'Milford, NH 03055']",42.841786637,-71.719394736,3.0,"[[u'Bars', u'bars'], [u'American (Traditional)', u'tradamerican']]",We have been in twice now and both times have had a great experience.  I HIGHLY recommend their Shaka's Burger or Greek Kabobs!  French fries are crisp and...
39,Bar Pleiades,"[u'1609 2nd Ave', u'Upper East Side', u'New York, NY 10028']",40.7719618745,-73.9582443237,4.5,"[[u'Bars', u'bars']]","I have been coming to bar Pleidies for a few years now. Located at the Surrey hotel on 76th in between 5th and Madison 
I first started to come to bar..."
40,Drunken Munkey NYC,"[u'Surrey Hotel', u'20 E 76th St', u'Upper East Side', u'New York, NY 10021']",40.7808609,-73.9475937,4.5,"[[u'Indian', u'indpak'], [u'Cocktail Bars', u'cocktailbars']]",Butter chicken tikka masala was amazing! Some of the best we've had. Very fresh naan and a great cocktail list. Crowded most of the time but just go to the...
41,DTUT,"[u'338 E 92nd St', u'Upper East Side', u'New York, NY 10128']",40.7801352406,-73.9499232148,4.0,"[[u'Bars', u'bars']]","Really chill vibes from this place. Stopped in after dinner looking for a place to relax, have a drink and possibly dessert and gotta say, we were not..."
42,Bar Pleiades,"[u'1609 2nd Ave', u'Upper East Side', u'New York, NY 10028']",40.7719618745,-73.9582443237,4.5,"[[u'Bars', u'bars']]","I have been coming to bar Pleidies for a few years now. Located at the Surrey hotel on 76th in between 5th and Madison 
I first started to come to bar..."
43,Drunken Munkey NYC,"[u'Surrey Hotel', u'20 E 76th St', u'Upper East Side', u'New York, NY 10021']",40.7808609,-73.9475937,4.5,"[[u'Indian', u'indpak'], [u'Cocktail Bars', u'cocktailbars']]",Butter chicken tikka masala was amazing! Some of the best we've had. Very fresh naan and a great cocktail list. Crowded most of the time but just go to the...
44,DTUT,"[u'338 E 92nd St', u'Upper East Side', u'New York, NY 10128']",40.7801352406,-73.9499232148,4.0,"[[u'Bars', u'bars']]","Really chill vibes from this place. Stopped in after dinner looking for a place to relax, have a drink and possibly dessert and gotta say, we were not..."
45,Harlem Nights,"[u'708 W 177 St', u'Washington Heights', u'New York, NY 10033']",40.8172982186,-73.9420799911,4.5,"[[u'Lounges', u'lounges'], [u'Music Venues', u'musicvenues']]","After a friend and fellow eliter raved about this place, I came across an article online which highlighted the fact that the owner is a former bartender and..."
46,The Beer Spot and Grill,"[u'2361 7th Ave', u'Harlem', u'New York, NY 10030']",40.8527544403,-73.9694743976,4.5,"[[u'American (New)', u'newamerican'], [u'Beer Bar', u'beerbar']]",If you love beer or love craft beer or a beer snob; The Beer Spot and Grill is your kinda place. This place is full of choices. Lots and lots of choices....
47,Jazz at Marjorie Eliot's,"[u'2027 Lemoine Ave', u'Fort Lee, NJ 07024']",40.8336556703,-73.9387875795,5.0,"[[u'Jazz & Blues', u'jazzandblues']]",It was a sunny and probably the last warm Sunday before winter comes.  My friends and I spent a wonderful afternoon at Ms. Marjorie Eliot's historic...
48,Slowly Shirley,"[u'West Village', u'New York, NY 10014']",40.7348595,-73.9996575,4.5,"[[u'Cocktail Bars', u'cocktailbars'], [u'Diners', u'diners'], [u'Wine Bars', u'wine_bars']]","Likely the last review I write until after Christmas, so that honor surely should go to (Slowly) Shirley yeah? 

""Surely you can't be serious?""

""I am..."
49,Blue Ribbon Downing Street Bar,"[u'121 W 10th St', u'West Village', u'New York, NY 10011']",40.7292621347,-74.0038936046,4.5,"[[u'Lounges', u'lounges']]","Came here on a whim an hour before closing time, and damn, have I been dying to come back! 
The place is small but super cozy, and I love how the delicious..."
50,Mezzrow,"[u'34 Downing St', u'West Village', u'New York, NY 10014']",40.734592,-74.00193,4.5,"[[u'Jazz & Blues', u'jazzandblues'], [u'Lounges', u'lounges'], [u'Music Venues', u'musicvenues']]","There is one thing for certain, and that's the fact that I love an amazing underground jazz club. What a perfect thing to do on a chilly fall Tuesday in New..."
